001;DEPOSIT;500.0;2026-03-07 09:34:30
002;WITHDRAWAL;200.0;2026-03-07 09:34:30
003;DEPOSIT;1000.0;2026-03-07 09:34:30
004;WITHDRAWAL;300.0;2026-03-07 09:34:30
005;DEPOSIT;750.0;2026-03-07 09:34:30
006;WITHDRAWAL;150.0;2026-03-07 09:34:30
007;DEPOSIT;2000.0;2026-03-07 09:34:30
001;DEPOSIT;500.0;2026-03-09 04:37:15
002;WITHDRAWAL;200.0;2026-03-09 04:37:15
003;DEPOSIT;1000.0;2026-03-09 04:37:15
004;WITHDRAWAL;300.0;2026-03-09 04:37:15
005;DEPOSIT;750.0;2026-03-09 04:37:15
006;WITHDRAWAL;150.0;2026-03-09 04:37:15
007;DEPOSIT;2000.0;2026-03-09 04:37:15
